target,n_models,top1_score,top1_model_order,top1_pdb_model_id,top1_identification,top1_fnat,top1_dockq,best_fnat,best_dockq,n_fnat03,n_dockq023,success_fnat03@1,success_fnat03@2,success_fnat03@5,success_fnat03@10,success_fnat03@20,success_fnat03@100,success_dockq023@1,success_dockq023@2,success_dockq023@5,success_dockq023@10,success_dockq023@20,success_dockq023@100
S-T088.1,130,2.08,9,270,T88_S01.M09,0.0175,0.0492,0.1875,0.1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T089.1,110,1.672,102,313,T89_S31.M02,0.0,0.0058,0.7925,0.6801,51,50,0,0,0,0,0,1,0,0,0,0,0,1
S-T090.1,110,1.999,32,253,T90_S12.M02,0.5924,0.6031,0.7516,0.6298,54,57,1,1,1,1,1,1,1,1,1,1,1,1
S-T091.1,110,3.079,48,290,T91_S17.M08,0.4659,0.5645,0.7955,0.6325,88,91,1,1,1,1,1,1,1,1,1,1,1,1
S-T092.1,110,2.063,43,268,T92_S17.M03,0.0,0.0088,0.5203,0.5252,63,72,0,1,1,1,1,1,0,1,1,1,1,1
S-T093.1,110,4.002,2,215,T93_S01.M02,0.4925,0.2556,0.7363,0.7151,86,88,1,1,1,1,1,1,1,1,1,1,1,1
S-T094.1,120,1.853,51,266,T94_S17.M01,0.0,0.0054,0.7083,0.5762,42,42,0,0,0,1,1,1,0,0,0,1,1,1
S-T096.1,155,2.174,98,368,T96_S26.M08,0.0,0.0142,0.32,0.3954,1,2,0,0,0,0,0,0,0,0,0,0,0,0
S-T097.1,150,2.055,71,341,T97_S21.M01,0.0488,0.0446,0.5488,0.6361,12,18,0,0,1,1,1,1,0,0,1,1,1,1
S-T098.1,150,1.939,114,382,T98_S22.M04,0.0,0.0336,0.055,0.0972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T099.1,150,2.434,131,381,T99_S27.M01,0.0357,0.0534,0.0619,0.1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T100.1,140,1.927,11,251,T100_S04.M01,0.0,0.0329,0.2807,0.1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T101.1,150,2.811,133,381,T101_S27.M03,0.0,0.0162,0.0495,0.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T104.1,170,1.918,11,337,T104_S03.M01,0.6833,0.7679,0.8167,0.848,140,140,1,1,1,1,1,1,1,1,1,1,1,1
S-T105.1,169,1.648,133,470,T105_S31.M04,0.7407,0.7526,0.9259,0.8891,149,149,1,1,1,1,1,1,1,1,1,1,1,1
S-T107.1,139,2.924,139,389,T107_S36.M10,0.0,0.0164,0.0763,0.1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T110.1,160,1.818,61,296,T110_S14.M01,0.5195,0.5587,0.5584,0.5976,97,131,1,1,1,1,1,1,1,1,1,1,1,1
S-T113.1,160,2.749,124,378,T113_S29.M04,0.013,0.0206,0.2667,0.2948,0,5,0,0,0,0,0,0,0,0,0,0,0,1
S-T116.1,160,3.094,93,388,T116_S18.M03,0.6495,0.231,0.6495,0.231,29,1,1,1,1,1,1,1,1,1,1,1,1,1
S-T117.1,160,2.073,75,329,T117_S15.M05,0.6753,0.235,0.7803,0.278,60,26,1,1,1,1,1,1,1,1,1,1,1,1
S-T117.2,160,3.928,83,317,T117_S16.M03,0.0,0.0096,0.0566,0.0316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T117.3,160,2.07,75,329,T117_S15.M05,0.7113,0.2465,0.811,0.2943,65,38,1,1,1,1,1,1,1,1,1,1,1,1
S-T117.4,160,1.804,22,258,T117_S04.M02,0.0,0.0096,0.3111,0.3238,1,3,0,0,0,0,0,1,0,0,0,0,0,1
S-T119.1,170,1.819,81,351,T119_S15.M01,0.0541,0.0351,0.8214,0.5727,91,94,0,0,1,1,1,1,0,0,1,1,1,1
S-T120.1,150,1.896,147,424,T120_S36.M07,0.0556,0.0469,0.3611,0.4403,7,10,0,0,0,0,0,1,0,0,0,0,0,1
S-T121.1,170,1.529,57,384,T121_S14.M07,0.3684,0.4322,0.386,0.4322,9,18,1,1,1,1,1,1,1,1,1,1,1,1
S-T122.1,200,1.905,12,2401,T122_S02.M02,0.3582,0.3472,0.4146,0.4186,16,134,1,1,1,1,1,1,1,1,1,1,1,1
S-T123.1,190,1.936,182,2585,T123_S42.M02,0.0,0.024,0.16,0.0764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T124.1,86,2.31,45,2101,T124_S10.M05,0.0066,0.0153,0.0728,0.0538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-T125.1,190,1.712,102,2144,T125_S16.M02,0.4516,0.5389,0.7419,0.8124,82,85,1,1,1,1,1,1,1,1,1,1,1,1
