target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T069.1,132,82,58,0,74,0.36279699564132745,0.27473093249079,0.4541353383458646,0.6703168685927307,0.6041463414634146,0.761183597390494,,0.6041463414634146,1,True,True,False,1.0,1,True,True,False,0.5,1,True,True,False,0.8,1,True,True,False,0.9,1,True,True,False,0.65
S-T070.1,125,0,0,0,0,0.02168255665519798,0.0063601509632957,0.04212110113594513,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T070.2,113,27,21,0,25,0.1775920152314833,0.24606585875245868,-0.048120300751879695,0.6781818181818182,0.6442721791559001,0.7070393374741201,,0.6442721791559001,0,False,False,False,0.0,1,True,True,False,0.5,1,True,True,False,0.4,1,True,True,False,0.4,1,True,True,False,0.27
S-T071.1,128,1,0,0,0,-0.17183621413652064,-0.09291902829664198,-0.4520496746911254,,0.13385826771653542,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T071.2,125,0,0,0,0,0.5160633225549092,0.4308424070131027,-0.1258005997295925,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T071.3,123,6,0,0,5,-0.37856415072840693,-0.07513286980192183,0.2646616541353383,0.4864406779661017,0.4344729344729345,,,0.4344729344729345,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.06
S-T072.1,130,7,0,0,10,-0.22320718133617704,-0.03948677974434807,0.49624060150375937,0.55,0.619047619047619,,,0.5483333333333333,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.09
S-T073.1,90,0,0,0,0,0.23062514977338647,0.15204147459380984,-0.365550984858381,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T073.2,93,0,0,0,3,0.051309988392696376,-0.11305184291374794,-0.30462582071531746,0.34814814814814815,,,,0.34814814814814815,0,False,False,False,0.0,0,False,False,False,0.0,1,False,False,False,0.2,1,False,False,False,0.1,1,False,False,False,0.03225806451612903
S-T075.1,120,35,26,0,33,0.1215532733572531,0.17564364601000945,0.6892402252128454,0.5322187391152908,0.5015126050420168,0.5237315875613747,,0.5226310647997395,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,False,0.35
