source,n_targets,mean_spearman,median_spearman,mean_pearson,median_pearson,mean_top20_spearman,median_top20_spearman,mean_auc_pos,median_auc_pos,mean_auc_any,median_auc_any,mean_auc_med,median_auc_med,mean_auc_high,median_auc_high,mean_auc_dockq,median_auc_dockq,mean_success@1,median_success@1,mean_success@2,median_success@2,mean_success@5,median_success@5,mean_success@10,median_success@10,mean_success@100,median_success@100,mean_success_any@1,median_success_any@1,mean_success_any@2,median_success_any@2,mean_success_any@5,median_success_any@5,mean_success_any@10,median_success_any@10,mean_success_any@100,median_success_any@100,mean_hitrate@1,median_hitrate@1,mean_hitrate@2,median_hitrate@2,mean_hitrate@5,median_hitrate@5,mean_hitrate@10,median_hitrate@10,mean_hitrate@100,median_hitrate@100
TraDock,113,0.01565622311346991,0.0,,,,,0.3480781162523552,0.3371428571428571,,,,,,,,,0.19469026548672566,0.0,0.23008849557522124,0.0,0.336283185840708,0.0,0.4336283185840708,0.0,0.6548672566371682,1.0,,,,,,,,,,,,,,,,,,,,
BioScore,113,0.08138905241081681,0.05859339125181646,0.07883138987712392,0.07870205702376036,-0.016899342287956892,0.027850977481945434,0.5331808035762574,0.531539647936409,0.5331808035762574,0.531539647936409,0.5438296015944226,0.5078189300411523,0.5330752746268217,0.5666760828625235,0.5280144128367873,0.5152380952380953,0.22123893805309736,0.0,0.2920353982300885,0.0,0.36283185840707965,0.0,0.4247787610619469,0.0,0.6460176991150443,1.0,0.22123893805309736,0.0,0.2920353982300885,0.0,0.36283185840707965,0.0,0.4247787610619469,0.0,0.6460176991150443,1.0,0.23008849557522124,0.0,0.23893805309734514,0.0,0.2513274336283186,0.0,0.2610619469026549,0.0,0.2958115677212091,0.1
TraDock_common,113,0.01565622311346991,0.0,,,,,0.3480781162523552,0.3371428571428571,,,,,,,,,0.19469026548672566,0.0,0.23008849557522124,0.0,0.336283185840708,0.0,0.4336283185840708,0.0,0.6548672566371682,1.0,,,,,,,,,,,,,,,,,,,,
BioScore_common,113,0.08138905241081681,0.05859339125181646,0.07883138987712392,0.07870205702376036,-0.016899342287956892,0.027850977481945434,0.5331808035762574,0.531539647936409,0.5331808035762574,0.531539647936409,0.5438296015944226,0.5078189300411523,0.5330752746268217,0.5666760828625235,0.5280144128367873,0.5152380952380953,0.22123893805309736,0.0,0.2920353982300885,0.0,0.36283185840707965,0.0,0.4247787610619469,0.0,0.6460176991150443,1.0,0.22123893805309736,0.0,0.2920353982300885,0.0,0.36283185840707965,0.0,0.4247787610619469,0.0,0.6460176991150443,1.0,0.23008849557522124,0.0,0.23893805309734514,0.0,0.2513274336283186,0.0,0.2610619469026549,0.0,0.2958115677212091,0.1
