target,in_tradock,in_bioscore,tradock_spearman,bioscore_spearman,delta_spearman,tradock_pearson,bioscore_pearson,delta_pearson,tradock_top20_spearman,bioscore_top20_spearman,delta_top20_spearman,tradock_auc_pos,bioscore_auc_pos,delta_auc_pos,tradock_auc_any,bioscore_auc_any,delta_auc_any,tradock_auc_med,bioscore_auc_med,delta_auc_med,tradock_auc_high,bioscore_auc_high,delta_auc_high,tradock_auc_dockq,bioscore_auc_dockq,delta_auc_dockq,tradock_success@1,bioscore_success@1,delta_success@1,tradock_success@2,bioscore_success@2,delta_success@2,tradock_success@5,bioscore_success@5,delta_success@5,tradock_success@10,bioscore_success@10,delta_success@10,tradock_success@100,bioscore_success@100,delta_success@100,tradock_success_any@1,bioscore_success_any@1,delta_success_any@1,tradock_success_any@2,bioscore_success_any@2,delta_success_any@2,tradock_success_any@5,bioscore_success_any@5,delta_success_any@5,tradock_success_any@10,bioscore_success_any@10,delta_success_any@10,tradock_success_any@100,bioscore_success_any@100,delta_success_any@100,tradock_hitrate@1,bioscore_hitrate@1,delta_hitrate@1,tradock_hitrate@2,bioscore_hitrate@2,delta_hitrate@2,tradock_hitrate@5,bioscore_hitrate@5,delta_hitrate@5,tradock_hitrate@10,bioscore_hitrate@10,delta_hitrate@10,tradock_hitrate@100,bioscore_hitrate@100,delta_hitrate@100
S-T038.1,1,1,0.2623801133825424,0.08006130156794448,0.18231881181459791,0.2700615355924717,0.06698627197096507,0.20307526362150663,0.5581045900512729,-0.4039112733929024,0.9620158634441753,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T039.1,1,1,-0.00652100293898298,0.08974276518790646,-0.09626376812688944,0.07742684974919171,0.04316956675563609,0.03425728299355563,0.08587585849804519,0.18907754809657318,-0.10320168959852799,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-T040.1,1,1,0.11601966346057788,0.241852306708739,-0.12583264324816112,0.20745315003832573,0.2413635043304163,-0.03391035429209058,-0.2910868953501923,0.011282437804271019,-0.3023693331544633,0.6060718942074874,0.6013182674199624,0.0047536267875250005,0.6291229385307348,0.5985221674876848,0.030600771043049924,0.6557274247491639,0.6084845926551287,0.047242832094035236,0.48734431498593817,0.5068825910931174,-0.01953827610717923,0.617247159620041,0.5896421845574388,0.027604975062602177,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8,0.2,0.6000000000000001,0.8,0.5,0.30000000000000004,0.42,0.46,-0.040000000000000036
S-T040.2,1,1,-0.30423539353426576,0.01721241892123173,-0.3214478124554975,-0.4201791316572014,0.05431971312483249,-0.47449884478203386,0.018065488671284456,-0.10609483816049259,0.12416032683177705,0.2317753001715266,0.4989030276437034,-0.26712772747217683,0.21864811997391873,0.5224744103248776,-0.30382629035095887,0.20204545454545456,0.5531468531468531,-0.35110139860139855,0.25994318181818177,0.5962777380100215,-0.3363345561918397,0.2188654640295588,0.5220293724966623,-0.30316390846710345,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.1,0.2,-0.1,0.16,0.28,-0.12000000000000002
S-T041.1,1,1,0.12474337571773493,-0.16509220651543677,0.2898355822331717,-0.28147376063955587,-0.06287662118613908,-0.2185971394534168,-0.10676691729323308,0.08421052631578946,-0.19097744360902252,0.6279740447007931,0.3716497915425849,0.2563242531582082,0.6180019305019305,0.3717717717717718,0.24623015873015874,0.5472727272727272,0.33333333333333337,0.21393939393939387,0.5625,0.7905982905982906,-0.22809829059829057,0.6279740447007931,0.3716497915425849,0.2563242531582082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.3,0.63,0.61,0.020000000000000018
S-T046.1,1,1,0.377935522667615,0.13642468529318116,0.24151083737443382,0.3331494705208794,0.15783977944026406,0.17530969108061534,0.5836214908554579,-0.16534683893576363,0.7489683297912215,0.7399053188526873,0.5873842592592593,0.152521059593428,0.7560763888888888,0.5184352517985611,0.23764113709032775,0.0,,,0.0,,,0.7114624505928854,0.5386192754613808,0.1728431751315046,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.19,0.19,0.0
S-T047.1,1,1,0.3046422429204176,-0.15337358397159304,0.4580158268920106,0.529054919132913,0.017929539127980308,0.5111253800049327,0.01880406300711836,0.17374954218577365,-0.15494547917865528,0.8265493215988265,0.4407774110744408,0.38577191052438575,0.8265493215988265,0.4407774110744408,0.38577191052438575,0.8265493215988265,0.4407774110744408,0.38577191052438575,0.6732600732600733,0.46495726495726497,0.20830280830280834,0.8265493215988265,0.4407774110744408,0.38577191052438575,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,1.0,0.2,0.8,1.0,0.2,0.8,0.9,0.83,0.07000000000000006
S-T050.1,1,1,-0.07770351174104458,0.13217222285070931,-0.2098757345917539,-0.08250542123291467,0.08470799553136521,-0.16721341676427987,0.2776524488029912,-0.1708051649817859,0.4484576137847771,0.47621457489878544,0.5020422055820286,-0.025827630683243175,0.4292517006802721,0.6071428571428571,-0.17789115646258502,0.6278344671201814,0.32,0.3078344671201814,0.0,,,0.4292517006802721,0.6071428571428571,-0.17789115646258502,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,0.2,0.2,0.0,0.2,0.3,-0.09999999999999998,0.22,0.26,-0.04000000000000001
S-T053.1,1,1,0.21014292874731205,-0.017601560782412012,0.22774448952972406,0.24703656307812458,0.07750706260250996,0.1695295004756146,0.524530692064135,0.4988701977761055,0.02566049428802958,0.6777142857142857,0.46640000000000004,0.21131428571428568,0.6687643020594966,0.5193488943488944,0.14941540771060213,0.777120315581854,0.5728021978021979,0.20431811777965614,0.0,,,0.6605555555555556,0.5137149672033392,0.14684058835221636,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.6,0.4,0.19999999999999996,0.6,0.3,0.3,0.35,0.33,0.019999999999999962
S-T054.1,1,1,-0.027969048365387175,-0.16791826964047107,0.1399492212750839,-0.02868759648054827,-0.13832585517833845,0.10963825869779018,0.17293233082706763,0.08349003975160553,0.0894422910754621,1.0,0.07317073170731703,0.926829268292683,0.0,,,0.0,,,0.0,,,0.0,,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
