source,n_targets,mean_spearman,median_spearman,mean_pearson,median_pearson,mean_top20_spearman,median_top20_spearman,mean_auc_pos,median_auc_pos,mean_auc_any,median_auc_any,mean_auc_med,median_auc_med,mean_auc_high,median_auc_high,mean_auc_dockq,median_auc_dockq,mean_success@1,median_success@1,mean_success@2,median_success@2,mean_success@5,median_success@5,mean_success@10,median_success@10,mean_success@100,median_success@100,mean_success_any@1,median_success_any@1,mean_success_any@2,median_success_any@2,mean_success_any@5,median_success_any@5,mean_success_any@10,median_success_any@10,mean_success_any@100,median_success_any@100,mean_hitrate@1,median_hitrate@1,mean_hitrate@2,median_hitrate@2,mean_hitrate@5,median_hitrate@5,mean_hitrate@10,median_hitrate@10,mean_hitrate@100,median_hitrate@100
TraDock,113,0.01565622311346991,0.0,,,,,0.3480781162523552,0.3371428571428571,,,,,,,,,0.19469026548672566,0.0,0.23008849557522124,0.0,0.336283185840708,0.0,0.4336283185840708,0.0,0.6548672566371682,1.0,,,,,,,,,,,,,,,,,,,,
BioScore,113,0.004683810688824062,0.004133207918286754,0.009095000737016058,0.0063601509632957,-0.0036801689688731997,-0.020369789209859542,0.4634501208845533,0.46352924107142857,0.4761834725135706,0.48620534387185893,0.470672121565352,0.445945945945946,0.5320775787004578,0.5099980721033353,0.47946977718148354,0.4865240588132154,0.1592920353982301,0.0,0.24778761061946902,0.0,0.34513274336283184,0.0,0.3893805309734513,0.0,0.6371681415929203,1.0,0.168141592920354,0.0,0.23008849557522124,0.0,0.336283185840708,0.0,0.3805309734513274,0.0,0.6194690265486725,1.0,0.168141592920354,0.0,0.18584070796460178,0.0,0.21415929203539824,0.0,0.22743362831858407,0.0,0.28498042980968946,0.09
TraDock_common,113,0.01565622311346991,0.0,,,,,0.3480781162523552,0.3371428571428571,,,,,,,,,0.19469026548672566,0.0,0.23008849557522124,0.0,0.336283185840708,0.0,0.4336283185840708,0.0,0.6548672566371682,1.0,,,,,,,,,,,,,,,,,,,,
BioScore_common,113,0.004683810688824062,0.004133207918286754,0.009095000737016058,0.0063601509632957,-0.0036801689688731997,-0.020369789209859542,0.4634501208845533,0.46352924107142857,0.4761834725135706,0.48620534387185893,0.470672121565352,0.445945945945946,0.5320775787004578,0.5099980721033353,0.47946977718148354,0.4865240588132154,0.1592920353982301,0.0,0.24778761061946902,0.0,0.34513274336283184,0.0,0.3893805309734513,0.0,0.6371681415929203,1.0,0.168141592920354,0.0,0.23008849557522124,0.0,0.336283185840708,0.0,0.3805309734513274,0.0,0.6194690265486725,1.0,0.168141592920354,0.0,0.18584070796460178,0.0,0.21415929203539824,0.0,0.22743362831858407,0.0,0.28498042980968946,0.09
