source,n_targets,mean_spearman,median_spearman,mean_pearson,median_pearson,mean_top20_spearman,median_top20_spearman,mean_auc_pos,median_auc_pos,mean_auc_any,median_auc_any,mean_auc_med,median_auc_med,mean_auc_high,median_auc_high,mean_auc_dockq,median_auc_dockq,mean_success@1,median_success@1,mean_success@2,median_success@2,mean_success@5,median_success@5,mean_success@10,median_success@10,mean_success@100,median_success@100,mean_success_any@1,median_success_any@1,mean_success_any@2,median_success_any@2,mean_success_any@5,median_success_any@5,mean_success_any@10,median_success_any@10,mean_success_any@100,median_success_any@100,mean_hitrate@1,median_hitrate@1,mean_hitrate@2,median_hitrate@2,mean_hitrate@5,median_hitrate@5,mean_hitrate@10,median_hitrate@10,mean_hitrate@100,median_hitrate@100
TraDock,113,0.08238761235441584,0.0955212340210394,0.08185383596708239,0.07742684974919171,0.04586641616099556,0.03836028853452146,0.3762202198187755,0.4468085106382979,0.37141834787306577,0.4578754578754579,0.2949131613724623,0.1282051282051282,0.07520116444841651,0.0,0.3735873728073745,0.4292517006802721,0.24778761061946902,0.0,0.34513274336283184,0.0,0.45132743362831856,0.0,0.504424778761062,1.0,0.6548672566371682,1.0,0.25663716814159293,0.0,0.36283185840707965,0.0,0.40707964601769914,0.0,0.4690265486725664,0.0,0.6371681415929203,1.0,0.2831858407079646,0.0,0.30973451327433627,0.0,0.30265486725663715,0.0,0.28584070796460176,0.0,0.2939391876560018,0.1
BioScore,113,0.004683810688824062,0.004133207918286754,0.009095000737016058,0.0063601509632957,-0.0036801689688731997,-0.020369789209859542,0.4634501208845533,0.46352924107142857,0.4761834725135706,0.48620534387185893,0.470672121565352,0.445945945945946,0.5320775787004578,0.5099980721033353,0.47946977718148354,0.4865240588132154,0.1592920353982301,0.0,0.24778761061946902,0.0,0.34513274336283184,0.0,0.3893805309734513,0.0,0.6371681415929203,1.0,0.168141592920354,0.0,0.23008849557522124,0.0,0.336283185840708,0.0,0.3805309734513274,0.0,0.6194690265486725,1.0,0.168141592920354,0.0,0.18584070796460178,0.0,0.21415929203539824,0.0,0.22743362831858407,0.0,0.28498042980968946,0.09
TraDock_common,113,0.08238761235441584,0.0955212340210394,0.08185383596708239,0.07742684974919171,0.04586641616099556,0.03836028853452146,0.3762202198187755,0.4468085106382979,0.37141834787306577,0.4578754578754579,0.2949131613724623,0.1282051282051282,0.07520116444841651,0.0,0.3735873728073745,0.4292517006802721,0.24778761061946902,0.0,0.34513274336283184,0.0,0.45132743362831856,0.0,0.504424778761062,1.0,0.6548672566371682,1.0,0.25663716814159293,0.0,0.36283185840707965,0.0,0.40707964601769914,0.0,0.4690265486725664,0.0,0.6371681415929203,1.0,0.2831858407079646,0.0,0.30973451327433627,0.0,0.30265486725663715,0.0,0.28584070796460176,0.0,0.2939391876560018,0.1
BioScore_common,113,0.004683810688824062,0.004133207918286754,0.009095000737016058,0.0063601509632957,-0.0036801689688731997,-0.020369789209859542,0.4634501208845533,0.46352924107142857,0.4761834725135706,0.48620534387185893,0.470672121565352,0.445945945945946,0.5320775787004578,0.5099980721033353,0.47946977718148354,0.4865240588132154,0.1592920353982301,0.0,0.24778761061946902,0.0,0.34513274336283184,0.0,0.3893805309734513,0.0,0.6371681415929203,1.0,0.168141592920354,0.0,0.23008849557522124,0.0,0.336283185840708,0.0,0.3805309734513274,0.0,0.6194690265486725,1.0,0.168141592920354,0.0,0.18584070796460178,0.0,0.21415929203539824,0.0,0.22743362831858407,0.0,0.28498042980968946,0.09
