target,n_decoys,n_acceptable_plus,n_medium_plus,n_high,n_positive,spearman,pearson,top20_spearman,auc_pos,auc_any,auc_med,auc_high,auc_dockq,success@1,success_any@1,success_med@1,success_high@1,hitrate@1,success@2,success_any@2,success_med@2,success_high@2,hitrate@2,success@5,success_any@5,success_med@5,success_high@5,hitrate@5,success@10,success_any@10,success_med@10,success_high@10,hitrate@10,success@100,success_any@100,success_med@100,success_high@100,hitrate@100
S-T099.1,150,0,0,0,0,0.0525075877168333,0.04110919542893253,0.09864469018175047,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T100.1,138,0,0,0,0,-0.06255872461177903,0.01135287307770131,0.31127819548872177,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T101.1,150,0,0,0,0,-0.0013480361211768703,-0.002147347468868248,0.32505652542789215,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T104.1,170,139,139,65,139,0.4181592348761024,0.29953646320726557,-0.20158724199017758,0.6971455093989325,0.6971455093989325,0.6971455093989325,0.6694505494505495,0.7026190476190476,0,False,False,False,0.0,0,False,False,False,0.0,1,True,True,True,0.6,1,True,True,True,0.7,1,True,True,True,0.92
S-T105.1,169,149,131,22,149,0.01402628981974502,-0.08496818082988454,0.07159023569744849,0.42986577181208047,0.42986577181208047,0.4242667738047408,0.39672232529375384,0.42986577181208047,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.8,1,True,True,True,0.88
S-T107.1,139,0,0,0,0,-0.048799562204439734,-0.061547352922437765,-0.08721804511278194,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T110.1,160,131,80,0,131,0.06254784126649554,0.3392466489331645,-0.319826402231276,0.5675177678336405,0.5675177678336405,0.5040625000000001,,0.5675177678336405,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,1.0,1,True,True,False,0.83
S-T113.1,160,2,0,0,2,-0.0214185524434926,-0.031737758074245934,0.10375939849624059,0.7784810126582279,0.7784810126582279,,,0.5032258064516129,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.1,1,True,False,False,0.03
S-T116.1,160,0,0,0,0,0.3153070876269479,0.30785666453992566,0.15280401159013304,,,,,0.9622641509433962,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.1,0,False,False,False,0.01
S-T117.1,160,0,0,0,0,0.058430295010420935,0.20463149906909406,-0.3367237609528614,,,,,0.4288174512055109,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.1,0,False,False,False,0.14
S-T117.2,127,0,0,0,0,0.1469677834554591,0.13310507681950645,0.13040635450595348,,,,,,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0
S-T117.3,160,0,0,0,0,0.04133424686723989,0.2092690724606876,-0.05642955647387399,,,,,0.5163934426229508,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.2,0,False,False,False,0.3,0,False,False,False,0.25
S-T117.4,107,3,0,0,3,0.2897357105441355,0.18272180216146708,0.044444523257760236,0.8942307692307693,0.8942307692307693,,,0.8942307692307693,0,False,False,False,0.0,0,False,False,False,0.0,0,False,False,False,0.0,1,True,False,False,0.1,1,True,False,False,0.03
S-T119.1,170,92,1,0,92,0.1859844219020858,0.14003482332708522,-0.04146263961591868,0.6007525083612041,0.6007525083612041,0.23668639053254437,,0.5922452407614782,1,True,False,False,1.0,1,True,False,False,1.0,1,True,False,False,1.0,1,True,False,False,0.6,1,True,False,False,0.64
