target,in_tradock,in_bioscore,tradock_spearman,bioscore_spearman,delta_spearman,tradock_pearson,bioscore_pearson,delta_pearson,tradock_top20_spearman,bioscore_top20_spearman,delta_top20_spearman,tradock_auc_pos,bioscore_auc_pos,delta_auc_pos,tradock_auc_any,bioscore_auc_any,delta_auc_any,tradock_auc_med,bioscore_auc_med,delta_auc_med,tradock_auc_high,bioscore_auc_high,delta_auc_high,tradock_auc_dockq,bioscore_auc_dockq,delta_auc_dockq,tradock_success@1,bioscore_success@1,delta_success@1,tradock_success@2,bioscore_success@2,delta_success@2,tradock_success@5,bioscore_success@5,delta_success@5,tradock_success@10,bioscore_success@10,delta_success@10,tradock_success@100,bioscore_success@100,delta_success@100,tradock_success_any@1,bioscore_success_any@1,delta_success_any@1,tradock_success_any@2,bioscore_success_any@2,delta_success_any@2,tradock_success_any@5,bioscore_success_any@5,delta_success_any@5,tradock_success_any@10,bioscore_success_any@10,delta_success_any@10,tradock_success_any@100,bioscore_success_any@100,delta_success_any@100,tradock_hitrate@1,bioscore_hitrate@1,delta_hitrate@1,tradock_hitrate@2,bioscore_hitrate@2,delta_hitrate@2,tradock_hitrate@5,bioscore_hitrate@5,delta_hitrate@5,tradock_hitrate@10,bioscore_hitrate@10,delta_hitrate@10,tradock_hitrate@100,bioscore_hitrate@100,delta_hitrate@100
S-T039.1,1,1,-0.03281263774617703,0.08974276518790646,-0.12255540293408348,,0.04316956675563609,,,0.18907754809657318,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T040.1,1,1,0.15660871646805763,0.241852306708739,-0.08524359024068137,,0.2413635043304163,,,0.011282437804271019,,0.6261873719500838,0.6013182674199624,0.024869104530121366,,0.5985221674876848,,,0.6084845926551287,,,0.5068825910931174,,,0.5896421845574388,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.0,,,0.2,,,0.5,,,0.46,
S-T040.2,1,1,-0.14718847926271347,0.01721241892123173,-0.1644008981839452,,0.05431971312483249,,,-0.10609483816049259,,0.45004288164665524,0.4989030276437034,-0.04886014599704819,,0.5224744103248776,,,0.5531468531468531,,,0.5962777380100215,,,0.5220293724966623,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,,0.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.0,,,0.2,,,0.2,,,0.28,
S-T041.1,1,1,-0.08663891228318178,-0.16509220651543677,0.07845329423225499,,-0.06287662118613908,,,0.08421052631578946,,0.4097572698870464,0.3716497915425849,0.03810747834446154,,0.3717717717717718,,,0.33333333333333337,,,0.7905982905982906,,,0.3716497915425849,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,1.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.3,,,0.61,
S-T046.1,1,1,-0.1086774675003799,0.13642468529318116,-0.24510215279356107,,0.15783977944026406,,,-0.16534683893576363,,0.36396546922862716,0.5873842592592593,-0.22341879003063214,,0.5184352517985611,,,,,,,,,0.5386192754613808,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.19,
S-T047.1,1,1,0.2682397111243864,-0.15337358397159304,0.42161329509597945,,0.017929539127980308,,,0.17374954218577365,,0.6391639163916392,0.4407774110744408,0.19838650531719837,,0.4407774110744408,,,0.4407774110744408,,,0.46495726495726497,,,0.4407774110744408,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.5,,,0.2,,,0.2,,,0.83,
S-T050.1,1,1,-0.23083845156290395,0.13217222285070931,-0.36301067441361323,,0.08470799553136521,,,-0.1708051649817859,,0.3228744939271255,0.5020422055820286,-0.17916771165490308,,0.6071428571428571,,,0.32,,,,,,0.6071428571428571,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.0,,,0.2,,,0.3,,,0.26,
S-T053.1,1,1,0.16452214684390348,-0.017601560782412012,0.1821237076263155,,0.07750706260250996,,,0.4988701977761055,,0.6788571428571429,0.46640000000000004,0.2124571428571429,,0.5193488943488944,,,0.5728021978021979,,,,,,0.5137149672033392,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,,,0.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.0,,,0.4,,,0.3,,,0.33,
S-T054.1,1,1,0.07026979054628578,-0.16791826964047107,0.23818806018675687,,-0.13832585517833845,,,0.08349003975160553,,0.9069767441860465,0.07317073170731703,0.8338060124787294,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T068.1,1,1,0.010066135411520728,-0.20899214473443037,0.2190582801459511,,-0.08402893970493937,,,-0.48795194556993443,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T068.2,1,1,-0.08182820737709177,0.21459891065024828,-0.29642711802734006,,0.2258095600942593,,,0.25602438673126077,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T069.1,1,1,-0.11938001083393282,0.36279699564132745,-0.4821770064752603,,0.27473093249079,,,0.4541353383458646,,0.45503261882572227,0.6703168685927307,-0.21528424976700838,,0.6041463414634146,,,0.761183597390494,,,,,,0.6041463414634146,,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.5,,,0.8,,,0.9,,,0.65,
S-T070.1,1,1,-0.3101996358789287,0.02168255665519798,-0.33188219253412665,,0.0063601509632957,,,0.04212110113594513,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T070.2,1,1,-0.1712578239688505,0.1775920152314833,-0.3488498392003338,,0.24606585875245868,,,-0.048120300751879695,,0.5756190476190476,0.6781818181818182,-0.10256277056277063,,0.6442721791559001,,,0.7070393374741201,,,,,,0.6442721791559001,,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,,0.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.0,,,0.5,,,0.4,,,0.4,,,0.27,
S-T071.1,1,1,0.3270216139253166,-0.17183621413652064,0.4988578280618372,,-0.09291902829664198,,,-0.4520496746911254,,0.0,,,,0.13385826771653542,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T071.2,1,1,0.09961334044401624,0.5160633225549092,-0.4164499821108929,,0.4308424070131027,,,-0.1258005997295925,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T071.3,1,1,0.007786203722954928,-0.37856415072840693,0.38635035445136184,,-0.07513286980192183,,,0.2646616541353383,,0.7634920634920634,0.4864406779661017,0.27705138552596176,,0.4344729344729345,,,,,,,,,0.4344729344729345,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.06,
S-T072.1,1,1,-0.23627595251540395,-0.22320718133617704,-0.013068771179226918,,-0.03948677974434807,,,0.49624060150375937,,0.5308333333333334,0.55,-0.019166666666666665,,0.619047619047619,,,,,,,,,0.5483333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.09,
S-T073.1,1,1,0.0,0.23062514977338647,-0.23062514977338647,,0.15204147459380984,,,-0.365550984858381,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T073.2,1,1,0.0,0.051309988392696376,-0.051309988392696376,,-0.11305184291374794,,,-0.30462582071531746,,0.18068535825545173,0.34814814814814815,-0.16746278989269642,,,,,,,,,,,0.34814814814814815,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.2,,,0.1,,,0.03225806451612903,
S-T075.1,1,1,0.42032211477421433,0.1215532733572531,0.29876884141696125,,0.17564364601000945,,,0.6892402252128454,,0.6785092302333682,0.5322187391152908,0.14629049111807735,,0.5015126050420168,,,0.5237315875613747,,,,,,0.5226310647997395,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.35,
S-T077.1,1,1,0.06547573597468805,0.15494836043909152,-0.08947262446440347,,0.16286571052619725,,,0.49793158842849417,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T078.1,1,1,-0.29835108483157313,-0.3775581179095132,0.07920703307794008,,-0.1735277535989996,,,0.26917293233082706,,0.38480392156862747,0.3155949741315595,0.06920894743706796,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
S-T079.1,1,1,0.0023686025033334617,0.015491811810627166,-0.013123209307293705,,0.19146563880313713,,,0.20902255639097742,,0.6608187134502924,0.7935103244837758,-0.13269161103348337,,0.826605504587156,,,0.7847826086956521,,,,,,0.805050505050505,,0.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.6,,,0.5,,,0.09,
