target,top1_success,top1_model,top1_mdn,top1_fnat,top1_dockq,top1_interface,top1_close,top1_clash,first_good_rank,first_good_model,first_good_mdn,first_good_fnat,first_good_dockq,first_good_interface,first_good_close,first_good_clash,best_fnat_model,best_fnat,best_fnat_dockq,best_fnat_rank,n_success
S-T080.1,True,375,-0.6572083830833435,0.6875,0.6871,22990.0,3542.0,85.0,1,375,-0.6572083830833435,0.6875,0.6871,22990.0,3542.0,85.0,271,0.8125,0.7872,19,64
S-T081.1,True,247,-0.6299588084220886,0.3125,0.3453,5587.0,875.0,33.0,1,247,-0.6299588084220886,0.3125,0.3453,5587.0,875.0,33.0,243,0.7917,0.685,42,41
S-T085.1,False,358,-0.6936500668525696,0.0109,0.0145,19291.0,2993.0,91.0,10,326,-0.7276967167854309,0.7382,0.4674,37825.0,5327.0,122.0,286,0.7927,0.7163,41,103
S-T086.1,False,282,-0.6249105334281921,0.0,0.0268,6915.0,955.0,24.0,12,363,-0.6817665696144104,0.5714,0.488,8409.0,1323.0,39.0,363,0.5714,0.488,12,4
S-T086.2,False,282,-0.624729573726654,0.0,0.0258,6915.0,955.0,24.0,10,290,-0.6737282872200012,0.3158,0.1582,6792.0,916.0,18.0,275,1.0,0.8141,52,9
S-T087.1,False,257,-1.659804105758667,0.0458,0.0709,68090.0,14404.0,1608.0,4,307,-1.6905955076217651,0.524,0.4923,73302.0,15352.0,1690.0,268,0.6538,0.6055,26,82
S-T088.1,False,280,-0.6432316899299622,0.0526,0.1313,15728.0,2535.0,60.0,0,,,,,,,,346,0.1875,0.1542,105,0
S-T089.1,False,279,-1.9061939716339111,0.0,0.0114,89788.0,19322.0,2062.0,5,243,-1.9565482139587402,0.4717,0.3272,97285.0,20687.0,2241.0,287,0.7925,0.6801,103,51
S-T090.1,True,279,-0.6459735631942749,0.5541,0.5376,22837.0,3474.0,84.0,1,279,-0.6459735631942749,0.5541,0.5376,22837.0,3474.0,84.0,255,0.7516,0.585,34,54
S-T091.1,True,280,-0.6398249268531799,0.7273,0.5955,12751.0,1901.0,39.0,1,280,-0.6398249268531799,0.7273,0.5955,12751.0,1901.0,39.0,352,0.7955,0.6107,58,88
S-T092.1,True,264,-0.6517058610916138,0.3577,0.4666,17258.0,2585.0,58.0,1,264,-0.6517058610916138,0.3577,0.4666,17258.0,2585.0,58.0,246,0.5203,0.5183,4,63
S-T093.1,False,313,-0.6561498045921326,0.0,0.0121,17343.0,2593.0,71.0,2,300,-0.664415717124939,0.6169,0.575,24622.0,3636.0,106.0,287,0.7363,0.6827,73,86
S-T094.1,False,240,-0.6568591594696045,0.0,0.0195,14664.0,2269.0,52.0,2,236,-0.6671174168586731,0.7083,0.5762,9396.0,1381.0,28.0,236,0.7083,0.5762,2,42
S-T096.1,False,381,-0.6344719529151917,0.0182,0.0607,15970.0,2378.0,53.0,4,386,-0.6613112688064575,0.32,0.3634,11189.0,1436.0,29.0,386,0.32,0.3634,4,1
S-T097.1,False,363,-0.6356029510498047,0.0366,0.0418,10952.0,1680.0,37.0,12,403,-0.6559354066848755,0.5488,0.5486,11233.0,1776.0,43.0,403,0.5488,0.5486,12,12
S-T098.1,False,327,-0.6504822969436646,0.0,0.045,7532.0,1064.0,23.0,0,,,,,,,,350,0.055,0.0362,57,0
S-T099.1,False,393,-0.6627950072288513,0.0,0.0312,10334.0,1559.0,38.0,0,,,,,,,,299,0.0619,0.0702,20,0
S-T100.1,False,327,-0.6687062978744507,0.0,0.061,9026.0,1320.0,33.0,0,,,,,,,,276,0.2807,0.1152,124,0
S-T101.1,False,392,-0.65147465467453,0.0,0.0084,9052.0,1253.0,28.0,0,,,,,,,,371,0.0495,0.0267,63,0
S-T104.1,True,363,-0.6375141739845276,0.65,0.6977,7942.0,1160.0,27.0,1,363,-0.6375141739845276,0.65,0.6977,7942.0,1160.0,27.0,410,0.8167,0.8433,34,140
S-T105.1,True,424,-0.6331708431243896,0.4815,0.4391,8152.0,1223.0,27.0,1,424,-0.6331708431243896,0.4815,0.4391,8152.0,1223.0,27.0,486,0.9259,0.8891,158,149
S-T107.1,False,366,-0.6962634325027466,0.0169,0.1037,12535.0,1930.0,57.0,0,,,,,,,,387,0.0763,0.0815,47,0
S-T110.1,False,325,-0.6473513841629028,0.026,0.0512,11935.0,1669.0,47.0,2,284,-0.6566041707992554,0.4675,0.5521,10470.0,1738.0,34.0,347,0.5584,0.5821,62,97
S-T113.1,False,393,-0.6438109874725342,0.026,0.0662,9277.0,1459.0,34.0,0,,,,,,,,361,0.2667,0.282,93,0
S-T116.1,False,422,-0.645186722278595,0.2165,0.0825,16898.0,2417.0,60.0,25,357,-0.6686379909515381,0.6082,0.22,20507.0,3125.0,72.0,447,0.6495,0.2263,97,29
S-T117.1,False,399,-1.7106454372406006,0.0,0.0137,64800.0,14490.0,1572.0,3,335,-1.7220373153686523,0.5395,0.1916,66930.0,14964.0,1656.0,359,0.7803,0.2777,11,60
S-T117.2,False,348,0.005560783203691244,0.0,0.011,11.0,0.0,0.0,0,,,,,,,,324,0.0566,0.0316,21,0
S-T117.3,False,258,-0.6741806268692017,0.0,0.0178,11086.0,1573.0,35.0,31,320,-0.7199949026107788,0.4965,0.1693,34422.0,4952.0,118.0,358,0.811,0.2886,115,65
S-T117.4,False,343,-1.6933505535125732,0.0,0.0097,69593.0,15525.0,1697.0,155,297,-1.933000087738037,0.3111,0.3238,97713.0,20609.0,2289.0,297,0.3111,0.3238,155,1
S-T119.1,True,331,-0.6327893733978271,0.6117,0.4741,17986.0,2890.0,72.0,1,331,-0.6327893733978271,0.6117,0.4741,17986.0,2890.0,72.0,311,0.8214,0.4809,113,91
S-T120.1,False,298,-0.6480252146720886,0.0139,0.0468,7153.0,1057.0,33.0,3,379,-0.6593149304389954,0.3472,0.3473,6846.0,1054.0,38.0,319,0.3611,0.4403,18,7
S-T121.1,False,486,-0.6669994592666626,0.0,0.0499,5048.0,688.0,13.0,21,493,-0.7215210199356079,0.3509,0.3566,7509.0,1173.0,24.0,387,0.386,0.4195,67,9
S-T122.1,False,2390,-0.6648181080818176,0.0,0.1923,4583.0,662.0,10.0,21,2541,-0.692456841468811,0.3902,0.2418,10902.0,1537.0,39.0,2543,0.4146,0.2502,169,16
S-T123.1,False,2461,-0.6547821164131165,0.0,0.0294,9409.0,1413.0,34.0,0,,,,,,,,2552,0.16,0.0762,137,0
S-T124.1,False,2110,-0.6477725505828857,0.0066,0.0149,17223.0,2710.0,65.0,0,,,,,,,,2072,0.0728,0.0279,83,0
S-T125.1,False,2048,0.09256317466497421,0.0,0.0263,6.0,0.0,0.0,13,2125,-0.6705015301704407,0.4677,0.6106,7863.0,1183.0,25.0,2179,0.7419,0.8124,96,82
S-T125.2,False,2135,-0.633990466594696,0.1316,0.3103,8769.0,1257.0,32.0,2,2203,-0.6493465304374695,0.8056,0.6078,7810.0,1168.0,23.0,2195,0.9737,0.8878,51,170
S-T125.3,False,2146,-1.2676727771759033,0.0,0.0551,24566.0,5514.0,596.0,0,,,,,,,,2211,0.2121,0.1463,67,0
S-T125.4,False,2072,0.21815022826194763,0.0,0.0189,3.0,0.0,0.0,0,,,,,,,,2140,0.0732,0.1127,127,0
S-T131.1,False,2302,-1.69617760181427,0.0,0.0194,74083.0,15663.0,1689.0,125,2350,-1.8007378578186035,0.4932,0.6038,81493.0,17059.0,1813.0,2275,0.549,0.5695,183,5
S-T132.1,False,2300,-0.6300562024116516,0.2687,0.2639,8239.0,1270.0,23.0,11,2447,-0.660477340221405,0.3731,0.4359,7712.0,1271.0,48.0,2373,0.5079,0.5527,23,2
S-T133.1,True,2600,-0.6229316592216492,0.3208,0.3221,7793.0,1218.0,25.0,1,2600,-0.6229316592216492,0.3208,0.3221,7793.0,1218.0,25.0,2652,0.8491,0.7713,48,83
